Arizona Cardinals,Defensive Line,22548633.0
Arizona Cardinals,Linebacker,13513467.0
Arizona Cardinals,Offensive Line,2602729.0
Arizona Cardinals,Passing,33736256.0
Arizona Cardinals,Rushing,6795917.0
Arizona Cardinals,Secondary,26042262.0
Arizona Cardinals,Special Teams,3674485.0
Atlanta Falcons,Defensive Line,20579225.0
Atlanta Falcons,Linebacker,4516688.0
Atlanta Falcons,Offensive Line,31191773.0
Atlanta Falcons,Passing,48643072.0
Atlanta Falcons,Rushing,2054409.0
Atlanta Falcons,Secondary,28978875.0
Atlanta Falcons,Special Teams,5374019.0
Baltimore Ravens,Defensive Line,9561330.0
Baltimore Ravens,Linebacker,23749385.0
Baltimore Ravens,Offensive Line,20802331.0
Baltimore Ravens,Passing,43963498.0
Baltimore Ravens,Rushing,2259156.0
Baltimore Ravens,Secondary,40087224.0
Baltimore Ravens,Special Teams,9736666.0
Buffalo Bills,Defensive Line,32413909.0
Buffalo Bills,Linebacker,8101145.0
Buffalo Bills,Offensive Line,11380213.0
Buffalo Bills,Passing,18134342.0
Buffalo Bills,Rushing,13490955.0
Buffalo Bills,Secondary,16745520.0
Buffalo Bills,Special Teams,3740294.0
Carolina Panthers,Defensive Line,43518046.0
Carolina Panthers,Linebacker,14481157.0
Carolina Panthers,Offensive Line,24861346.0
Carolina Panthers,Passing,35085558.0
Carolina Panthers,Rushing,5479454.0
Carolina Panthers,Secondary,12693975.0
Carolina Panthers,Special Teams,2470882.0
Chicago Bears,Defensive Line,20570010.0
Chicago Bears,Linebacker,30592325.0
Chicago Bears,Offensive Line,25863683.0
Chicago Bears,Passing,45501020.0
Chicago Bears,Rushing,3448492.0
Chicago Bears,Secondary,20155499.0
Chicago Bears,Special Teams,5942500.0
Cincinnati Bengals,Defensive Line,35609625.0
Cincinnati Bengals,Linebacker,11942289.0
Cincinnati Bengals,Offensive Line,24897082.0
Cincinnati Bengals,Passing,9487555.0
Cincinnati Bengals,Rushing,6673246.0
Cincinnati Bengals,Secondary,18862601.0
Cincinnati Bengals,Special Teams,4725000.0
Cleveland Browns,Defensive Line,15435859.0
Cleveland Browns,Linebacker,14850430.0
Cleveland Browns,Offensive Line,34715901.0
Cleveland Browns,Passing,48542438.0
Cleveland Browns,Rushing,5575724.0
Cleveland Browns,Secondary,19653283.0
Cleveland Browns,Special Teams,3678529.0
Dallas Cowboys,Defensive Line,33927142.0
Dallas Cowboys,Linebacker,19209750.0
Dallas Cowboys,Offensive Line,37354110.0
Dallas Cowboys,Passing,11189060.0
Dallas Cowboys,Rushing,9216568.0
Dallas Cowboys,Secondary,9509739.0
Dallas Cowboys,Special Teams,2900000.0
Denver Broncos,Defensive Line,19807123.0
Denver Broncos,Linebacker,33800205.0
Denver Broncos,Offensive Line,13725363.0
Denver Broncos,Passing,19434052.0
Denver Broncos,Rushing,2126180.0
Denver Broncos,Secondary,21340876.0
Denver Broncos,Special Teams,4497055.0
Detroit Lions,Defensive Line,6650881.0
Detroit Lions,Linebacker,12759404.0
Detroit Lions,Offensive Line,15584918.0
Detroit Lions,Passing,34787881.0
Detroit Lions,Rushing,6652941.0
Detroit Lions,Secondary,26281424.0
Detroit Lions,Special Teams,6845000.0
Green Bay Packers,Defensive Line,2637451.0
Green Bay Packers,Linebacker,14870489.0
Green Bay Packers,Offensive Line,31530360.0
Green Bay Packers,Passing,57984542.0
Green Bay Packers,Rushing,1021204.0
Green Bay Packers,Secondary,9848673.0
Green Bay Packers,Special Teams,6283723.0
Houston Texans,Defensive Line,20244649.0
Houston Texans,Linebacker,29398163.0
Houston Texans,Offensive Line,18340377.0
Houston Texans,Passing,24020001.0
Houston Texans,Rushing,8681496.0
Houston Texans,Secondary,37848369.0
Houston Texans,Special Teams,2003166.0
Indianapolis Colts,Defensive Line,20408109.0
Indianapolis Colts,Linebacker,4206294.0
Indianapolis Colts,Offensive Line,22714741.0
Indianapolis Colts,Passing,51879483.0
Indianapolis Colts,Rushing,3036212.0
Indianapolis Colts,Secondary,9861539.0
Indianapolis Colts,Special Teams,4184000.0
Jacksonville Jaguars,Defensive Line,50991496.0
Jacksonville Jaguars,Linebacker,11488256.0
Jacksonville Jaguars,Offensive Line,4869310.0
Jacksonville Jaguars,Passing,24361057.0
Jacksonville Jaguars,Rushing,10454946.0
Jacksonville Jaguars,Secondary,37475584.0
Jacksonville Jaguars,Special Teams,1082022.0
Kansas City Chiefs,Defensive Line,14751750.0
Kansas City Chiefs,Linebacker,35934924.0
Kansas City Chiefs,Offensive Line,28028151.0
Kansas City Chiefs,Passing,31091702.0
Kansas City Chiefs,Rushing,5804069.0
Kansas City Chiefs,Secondary,25406139.0
Kansas City Chiefs,Special Teams,3085000.0
